airport_woe_id,airport_ne_gid,airport_county_woe_id,airport_icao_code,airport_ne_name,airport_woe_latitude,airport_woe_bbox,airport_ne_type,airport_country_woe_id,airport_woe_longitude,airport_ne_latitude,airport_iata_code,urbanarea_ne_gid,airport_ne_longitude,aerotropolis_woe_id,airport_woe_name,airport_iso,airport_state_woe_id
12513916,,55999979,,,33.3083,"33.303749,44.23896,33.312851,44.24984",,23424855,44.2444,,,851,,35523415,Qasr Tall Mihl Airport,IQ,2345839
12513920,,55999983,,,33.277802,"33.273251,44.485661,33.282349,44.49654",,23424855,44.4911,,,851,,35523415,Rasheed Airport,IQ,2345839
12513921,734,55999979,ORBI,Baghdad Int'l,33.25494,"33.250389,44.244991,33.259491,44.255871",major,23424855,44.250431,,SDA,851,,35523415,Baghdad International Airport,IQ,2345839
12516263,,12597862,,,56.047298,"56.042751,92.913361,56.051849,92.929642",,23424936,92.921501,,,856,,,Krasnoyarsk Airport,RU,20070524
12514107,,,,,40.2747,"40.270149,72.043037,40.279251,72.054962",,23424864,72.049004,,,857,,,Kyzyl Kiya Airport,KG,20070197
12522672,,,,,40.514198,"40.509651,71.898216,40.518749,71.910179",,23424980,71.904198,,,857,,,Kuva West Airport,UZ,2347662
12522677,,,,,40.446201,"40.44165,71.675232,40.450748,71.687172",,23424980,71.681198,,,857,,,Margelan Airport,UZ,2347662
12522608,,,,,39.672901,"39.66835,67.159393,39.677448,67.171211",,23424980,67.165298,,,859,,,Dzhamby Airport,UZ,20070173
12513744,701,,OIMM,Mashhad,36.235802,"36.231251,59.63356,36.240349,59.64484",major,23424851,59.639198,,MHD,862,,35523663,Mashhad Airport,IR,56189823
12513700,,,,,32.6222,"32.617649,51.692402,32.626751,51.703201",,23424851,51.6978,,,865,,,Badr Air Force Base,IR,2345787
12511930,,56013506,,,13.8486,"13.84405,20.84252,13.85315,20.851879",,23424777,20.8472,,AEH,876,,35525139,Abeche Airport,TD,2344956
12515047,,56055506,,,13.4817,"13.47034,2.15861,13.49306,2.18199",,23424906,2.1703,,,879,,35523953,Niamey Airport,NE,20069994
