derived_from,aerotropolis_woe_id,airports,urbanarea_ne_gid,aerotropolis_name
woe,35524735,RCH,3696,RCH
woe,35524567,NRN,7126,NRN
woe,35524715,VSE,4439,VSE
woe,35524717,BZG,6923,BZG
ne,35523637,"HEL,HEM",6539,HEL-HEM
woe,35524685,TJA,973,TJA
woe,35524723,BGR,4539,BGR
woe,35524725,AUW,4829,AUW
woe,35524727,RRL,4826,RRL
ne,35523641,CCP,5543,CCP
woe,35524729,ATF,5540,ATF
woe,35524731,ITN,4949,ITN
woe,35524733,JEQ,4948,JEQ
ne,35523643,"ADW,BWI,BZS,CGS,DCA,IAD,MTN",4820,BWI-DCA-IAD
woe,35524739,CZE,3697,CZE
woe,35524741,ZTN,9401,ZTN
woe,35524743,RZR,11627,RZR
woe,35524745,OLB,8613,OLB
ne,35523645,PEE,6362,PEE
woe,35524747,CEE,6361,CEE
ne,35523647,ELP,3086,ELP
woe,35524751,TUS,3081,TUS
woe,35524753,DRM,8590,DRM
woe,35525435,SHE,1110,SHE
woe,35525011,BUV,5248,BUV
ne,35523649,PTG,10155,PTG
ne,35523651,ICN,2629,ICN
woe,35524759,CHA,3875,CHA
woe,35525361,PTP,4065,PTP
woe,35524721,BTU,2886,BTU
woe,35524763,MXR,7359,MXR
woe,35524765,GRO,9235,GRO
woe,35524767,SZR,8476,SZR
woe,35525147,"HIF,OGD",2034,HIF-OGD
ne,35523653,"LYN,LYS",9232,LYS
woe,35524769,CFE,9233,CFE
woe,35524771,PGF,11,PGF
ne,35523655,OUL,6406,OUL
woe,35525189,"MLN,NDR",3541,MLN-NDR
ne,35523659,WAW,7561,WAW
ne,35523661,BCN,19,BCN
woe,35524777,JLO,8184,JLO
ne,35523663,MHD,862,MHD
woe,35524779,TTJ,3441,TTJ
ne,35523665,URC,2756,URC
ne,35523533,SYR,4593,SYR
ne,35523669,LUX,7409,LUX
woe,35524781,IDA,2022,IDA
woe,35524783,RBG,2023,RBG
woe,35524325,MTW,4557,MTW
ne,35523859,DHA,10718,DHA
woe,35524963,UBA,5001,UBA
ne,35523673,ILM,3907,ILM
ne,35523677,NDJ,887,NDJ
woe,35524787,TOC,3902,TOC
ne,35523679,NKG,1973,NKG
ne,35523681,KAN,889,KAN
woe,35524789,TUP,3908,TUP
ne,35523683,VNO,6814,VNO
ne,35523499,LOV,3112,LOV
woe,35524793,PMF,9058,PMF
ne,35523687,CAI,11526,CAI
woe,35524537,GIZ,11162,GIZ
woe,35524795,PSD,11522,PSD
ne,35523689,VIE,9712,VIE
ne,35523691,VCE,9050,VCE
ne,35523697,NRK,6621,NRK
woe,35524561,MPK,2719,MPK
woe,35524973,GRZ,9659,GRZ
woe,35524801,CNT,5199,CNT
woe,35524803,BLK,3234,BLK
ne,35523699,NOV,10086,NOV
woe,35524805,PFN,4003,PFN
woe,35524807,CFC,5190,CFC
woe,35524811,NVT,5193,NVT
woe,35524327,EWB,4658,EWB
ne,35523701,HER,8923,HER
woe,35524815,NAB,3974,NAB
woe,35524819,GJL,8840,GJL
ne,35523703,ACC,9954,ACC
woe,35525325,GLO,3262,GLO
woe,35524975,MCX,11567,MCX
ne,35523705,LAK,8929,LAK
woe,35524821,OGZ,203,OGZ
woe,35524757,POB,3873,POB
woe,35524823,IPH,2875,IPH
woe,35524547,BDS,8649,BDS
woe,35525381,AGA,3608,AGA
woe,35525265,UBP,2492,UBP
woe,35524331,CRD,5417,CRD
ne,35523707,NGO,3351,NGO
woe,35524829,PSP,3059,PSP
woe,35524981,"NSI,YAO",9915,NSI-YAO
woe,35524831,OXR,3052,OXR
ne,35523709,SBA,3050,SBA
woe,35524411,RDS,5363,RDS
woe,35525203,TEE,8919,TEE
woe,35524835,BGD,3029,BGD
woe,35524529,BBT,949,BBT
woe,35524839,ISG,2339,ISG
woe,35524841,SRZ,1049,SRZ
woe,35524843,RDG,4718,RDG
ne,35523713,"SJO,SYQ",5445,SYQ
woe,35524551,XBJ,683,XBJ
woe,35525299,COH,2806,COH
ne,35523715,IDR,10942,IDR
ne,35523717,TUL,4303,TUL
woe,35524849,CBS,3716,CBS
ne,35523719,SAT,4307,SAT
ne,35523721,"AAP,CLC,EFD,HOU,IAH,IWS,JMA,SGR",4306,IAH
ne,35523723,"HKS,JAN",4305,JAN
ne,35523725,"ADS,DAL,DFW,DNE,FTW,GPM,RBD",4304,DAL-DFW-FTW
ne,35523321,"AZP,MEX",4308,MEX
woe,35524855,ZNI,9476,ZNI
ne,35523731,"BFH,CWB",5171,CWB
woe,35524339,CRO,3022,CRO
ne,35523733,BIO,4479,BIO
woe,35524861,AQG,2091,AQG
woe,35524865,EGO,7249,EGO
woe,35524867,CDP,11231,CDP
woe,35524869,OVL,5504,OVL
ne,35523735,KMS,3657,KMS
ne,35523737,BYK,3650,BYK
ne,35523739,CTA,8786,CTA
woe,35524871,LRH,4477,LRH
woe,35524873,VAR,8423,VAR
ne,35523741,IXJ,692,IXJ
woe,35524993,DIJ,9780,DIJ
woe,35524877,MWH,1544,MWH
woe,35524879,AFF,2526,AFF
woe,35524883,CSN,2521,CSN
woe,35524885,COE,1540,COE
woe,35524887,QBX,4901,QBX
ne,35523395,HRK,7615,HRK
ne,35523745,FOR,4902,FOR
ne,35523749,DAD,2482,DAD
woe,35524893,UMY,7611,UMY
ne,35523751,IEV,7612,IEV
woe,35524897,YKM,1549,YKM
woe,35524901,ASR,8711,ASR
woe,35524903,SDT,546,SDT
woe,35524905,GEA,11704,GEA
ne,35523753,CJJ,1464,CJJ
ne,35523755,ROK,11706,ROK
woe,35524909,ALY,11468,ALY
woe,35524911,XNN,1462,XNN
woe,35524913,POO,5065,POO
ne,35523757,AWZ,10355,AWZ
woe,35524919,MDM,9272,MDM
ne,35523759,"TLS,XYT",9273,TLS
ne,35523761,LHE,10352,LHE
ne,35523763,LYP,10353,LYP
woe,35524925,MGF,5146,MGF
ne,35523767,"BKK,DMK",2704,DMK
woe,35524927,SZA,10055,SZA
ne,35523475,MJM,10054,MJM
ne,35523479,"CGH,GRU,ZFU",5142,CGH-GRU
ne,35523773,KGA,10051,KGA
woe,35524987,REZ,5096,REZ
woe,35524929,TOY,3403,TOY
ne,35523775,TRD,6440,TRD
ne,35523777,COR,1015,COR
woe,35524775,GSP,3881,GSP
woe,35524931,AUR,9175,AUR
ne,35523779,GLS,4234,GLS
woe,35524933,HMJ,7441,HMJ
woe,35524937,MKC,4876,MKC
woe,35524939,SPI,4873,SPI
woe,35524941,HFA,8984,HFA
woe,35525121,WUH,2732,WUH
woe,35524943,CHV,4400,CHV
woe,35524945,GFF,11767,GFF
ne,35523781,ASB,415,ASB
ne,35523785,"BKA,SVO",6310,SVO
woe,35524947,UTC,7683,UTC
woe,35524949,CKG,2142,CKG
woe,35524671,HTF,7720,HTF
ne,35523787,GWL,10753,GWL
ne,35523789,GYN,4970,GYN
ne,35523791,KTM,2797,KTM
woe,35525195,"DAB,OMN",4010,DAB-OMN
woe,35524955,OKZ,3948,OKZ
ne,35523793,"BNA,JWN,MQY",3826,BNA
ne,35523795,MIR,9095,MIR
woe,35524957,GIS,11801,GIS
woe,35524959,TCL,3943,TCL
woe,35524961,SCD,3944,SCD
ne,35523797,PMR,11806,PMR
ne,35523799,ALG,9092,ALG
ne,35523803,CHS,3947,CHS
woe,35524965,ASF,11553,ASF
woe,35524967,AGH,6708,AGH
woe,35524969,TSB,10129,TSB
ne,35523805,SAH,11202,SAH
woe,35524577,CMF,9165,CMF
ne,35523807,"BBU,OTP",8324,BBU
woe,35525165,POZ,6990,POZ
