urbanarea_id,iata_code,gps_code,airport_name
5487,AQP,SPQU,Rodriguez Ballon Int'l
5537,LIM,SPIM,Jorge Chavez
5538,SCL,SCEL,Arturo Merino Benitez Int'l
5543,CCP,SCIE,Carriel Sur Int'l
5554,UIO,SEQU,Mariscal Sucre Int'l
5557,MEC,SEMT,Eloy Alfaro Int'l
6010,OMS,UNOO,Omsk Tsentralny
6117,KUF,UWWW,Kurumoch
6310,SVO,UUEE,Sheremtyevo
6340,CEK,USCC,Chelyabinsk
6355,SGC,USRR,Surgut
6362,PEE,USPP,Bolshesavino
6388,RTW,UWSS,Saratov
6390,VOG,URWW,Gumrak
6395,,ULMM,Severomorsk-3 (Murmansk N.E.)
6406,OUL,EFOU,Oulu
6440,TRD,ENVA,Trondheim Vaernes
6539,HEM,EFHF,Helsinki-Malmi
6539,HEL,EFHK,Helsinki Vantaa
6541,OSL,ENGM,Oslo Gardermoen
6573,BMA,ESSB,Bromma
6580,TLL,EETN,Ulemiste
6618,NYO,ESKN,Stockholm-Skavsta
6621,NRK,ESSP,Norrkoping Airport
6679,RIX,EVRA,Riga
6814,VNO,EYVI,Vilnius
7178,DRS,EDDC,Dresden
7306,KBP,UKBB,Boryspil Int'l
7335,KRK,EPKK,Balice
7375,LWO,UKLL,Lviv Danylo Halytskyi Int'l
7409,LUX,ELLX,Luxembourg-Findel
7514,ARN,ESSA,Arlanda
7555,HAM,EDDH,Hamburg
7556,BRE,EDDW,Bremen
7561,WAW,EPWA,Okecie Int'l
7589,NUE,EDDN,Nurnberg
7593,LED,ULLI,Pulkovo 2
7599,CPH,EKCH,Copenhagen
7604,TXL,EDDT,Berlin-Tegel Int'l
7609,LCJ,EPLL,Lodz Wladyslaw Reymont
7612,IEV,UKKK,Kiev Zhuliany Int'l
7615,HRK,UKHH,Kharkov Int'l
7701,LTN,EGGW,London Luton
7768,LGW,EGKK,London Gatwick
7868,NCL,EGNT,Newcastle Int'l
7872,RTM,EHRD,Rotterdam The Hague
7872,AMS,EHAM,Schiphol
7880,DUS,EDDL,Dusseldorf Int'l
7880,CGN,EDDK,Cologne/Bonn
7882,LHR,EGLL,London Heathrow
7886,ANR,EBAW,Deurne
7886,BRU,EBBR,Brussels
7889,LIL,LFQQ,Lille-Lesquin
7891,CRL,EBCI,Gosselies
7898,BHX,EGBB,Birmingham Int'l
8091,QNJ,LFLI,Annemasse
8091,GVA,LSGG,Geneva
8268,SIP,UKFF,Simferopol Int'l
8278,BEG,LYBE,Surcin
8324,BBU,LRBS,Aeroportul National Bucuresti-Baneasa
8364,ALL,LIMG,Albenga
8451,SOF,LBSF,Vrazhdebna
8483,TGD,LYPG,Podgorica
8640,SKG,LGTS,Thessaloniki
8695,ESB,LTAC,Esenboga Int'l
8786,CTA,LICC,Catania Fontanarossa
8820,ADA,LTAF,Sakirpasa
8824,AYT,LTAI,Antalya
8836,TUN,DTTA,Aeroport Tunis
8923,HER,LGIR,Heraklion Int'l
8929,LAK,LCRO,Lakatamia Airbase
8975,DAM,OSDI,Damascus Int'l
8988,TIP,HLLT,Tripoli Int'l
9009,BEN,HLLB,Benina Int'l
9036,ODS,UKOO,Odessa Int'l
9048,ZAG,LDZA,Zagreb
9050,VCE,LIPZ,Venice Marco Polo
9080,FCO,LIRF,Leonardo da Vinci Int'l
9092,ALG,DAAG,Houari Boumediene
9095,MIR,DTMB,Habib Bourguiba Int'l
9101,LTK,OSLK,Bassel Al-Assad Int'l
9102,BEY,OLBA,Beirut Int'l
9104,ADJ,OJAM,Marka Int'l
9108,MXP,LIMC,Malpensa
9108,BGY,LIME,Orio Al Serio
9108,LIN,LIML,Linate
9113,TRN,LIMF,Turin Int'l
9122,PSA,LIRP,Pisa Galileo Galilei Int'l
9123,CEQ,LFMD,Mandelieu
9135,NAP,LIRN,Naples Int'l
9137,SAW,LTFJ,Sabiha Gokcen Havaalani
9138,IST,LTBA,Ataturk Hava Limani
9229,MRS,LFML,Marseille Provence Airport
9232,LYS,LFLL,Lyon-Saint Exupery
9241,ORN,DAOO,Oran Es Senia
9260,BOD,LFBD,Bordeaux
9273,TLS,LFBO,Toulouse-Blagnac
9353,DOK,UKCC,Donetsk
9390,ROV,URRR,Rostov-on-Don
9390,,,Rostov N.
9471,MUC,EDDM,Franz-Josef-Strauss
9471,MUCf,EDDMf,Munich Freight Terminal
9660,KIV,LUKK,Kishinev S.E.
9704,FRA,EDDF,Frankfurt Int'l
9705,STR,EDDS,Stuttgart
9708,SXB,LFST,Strasbourg
9712,VIE,LOWW,Vienna Schwechat Int'l
9714,BTS,LZIB,Bratislava-M.R. Stefanik
9737,BUD,LHBP,Ferihegy
9738,ZRH,LSZH,Zurich Int'l
9801,ORY,LFPO,Paris Orly
9801,CDG,LFPG,Charles de Gaulle Int'l
9847,LOS,DNMM,Lagos Murtala Muhammed
9857,COO,DBBB,Cotonou Cadjehon
9858,BNI,DNBE,Benin
9919,IBA,DNIB,Ibadan
9938,LFW,DXXX,Lome Tokoin
9954,ACC,DGAA,Kotoka Int'l
9966,DAR,HTDA,Julius Nyerere Int'l
9996,GOM,FZNA,Goma Int'l
10001,KGL,HRYR,Kigali Int'l
10029,BJM,HBBA,Bujumbura Int'l
10051,KGA,FZUA,Kananga
10054,MJM,FZWA,Mbuji Mayi
10062,LAD,FNLU,Luanda 4 de Fevereiro
10086,NOV,FNHU,Nova Lisboa
10110,LUN,FLLS,Lusaka Int'l
10119,HRE,FVHA,Harare Int'l
