urbanarea_id,airports
3688,CKY
5203,PSS
9048,ZAG
5205,RES
11830,CBR
10460,MUX
5206,CNQ
4794,"BBX,DYL,ILG,PHL,PNE,TTN,VAY"
3867,THA
10281,BZV
4790,RAC
4791,"AKC,BKL,CGF,CLE,LNN"
4792,SCR
4793,"AGC,PIT"
7335,KRK
11394,MAA
3541,"MLN,NDR"
11391,PNQ
11390,BOM
11257,HAL
4159,"BAD,DTN,SHV"
3221,PIK
353,BHK
3989,BFM
8915,CHQ
8919,TEE
5419,SST
4929,PNZ
3983,BQK
2967,OKD
5064,AQA
9730,UHE
1780,UBJ
4516,YWA
10119,HRE
11784,"AKL,MHB"
10217,NCS
9732,AGB
8333,GOA
3041,SMX
3045,LPC
3044,PMD
5478,AYP
3808,BWG
1777,TKS
10411,IXC
1110,SHE
5370,ZCO
4708,ABE
10810,DOH
10815,KTU
3804,"FAF,LFI,PHF"
5149,UBT
3489,PAE
3761,SFD
3762,SCI
3763,CXA
8675,BTZ
3481,"AJO,BUR,CCB,CCD,CNO,CPM,CVR,EMT,JCX,JID,JIO,JLB,JOC,JRD,JWC,LAX,LGB,ONT,RAL,RIR,SBD,SBT,SFR,SLI,SMO,SNA,VNY,WHP"
4334,EAS
3485,ITM
3484,KIX
3486,NKM
4563,YOO
2553,MOD
4567,PWM
3646,JMY
6010,OMS
1552,PSC
11675,GYD
7609,LCJ
4632,ORH
2490,CRK
6390,VOG
7604,"SXF,THF,TXL"
2497,NCP
3033,BFL
5356,RSA
3006,SRU
7898,"BHX,QQY"
3035,ABQ
11771,ADL
4637,JXN
539,HDM
7891,CRL
5154,UMU
2727,TAO
9260,BOD
5014,VIX
4907,MVF
10736,KNU
5019,CGR
4891,"ANE,JDT,MSP"
4106,PGR
4897,SLZ
987,TUC
4209,"BIX,GPT"
2996,MCE
7872,"AMS,RTM"
9857,COO
9858,BNI
4203,BTR
4201,GTU
8341,BAE
8132,NCY
9996,GOM
2784,CGP
4802,"YYZ,YZD"
4804,"MKE,UES,ZML"
4806,"ARB,DEO,DET,DTW,MTC,PTK,YIP"
2806,COH
9970,APL
1526,YYC
6309,BXH
1522,YKA
1523,YQR
4964,APS
424,MYP
3226,BHD
308,OSS
2600,SGZ
9088,JKH
3953,AUO
2391,TTT
3956,"CSG,MKF"
9080,"CIA,FCO"
7896,"DCS,DSA,LBA,XNM"
4114,FSM
3262,GLO
4113,"PWA,TIK"
8451,SOF
5124,BJP
5125,OUS
9641,IAS
10030,ARK
9006,MRA
4119,MEM
847,PEW
845,KSH
3464,SDJ
3463,GAJ
5082,BAU
4297,GUA
5020,VOT
7375,LWO
11354,PAT
9797,CHR
2674,SHA
2677,CZX
2399,HCN
2921,MKZ
4905,THE
8413,INI
5333,REC
8036,KLU
5335,SSA
5336,BSB
5339,ASU
9038,BZO
4063,SKB
10854,UDR
3210,EDI
4065,PTP
5231,BGV
4741,WRI
10992,PBD
4746,"DAY,FFO"
11814,WLG
8820,ADA
11817,"CHC,ZWG"
9973,MDK
8824,AYT
8939,SFA
8778,DNZ
3600,RAK
755,"BHW,SGI"
3604,OZZ
10001,KGL
3608,AGA
4896,"CPS,STL"
3178,"BFI,SEA,TCM"
3072,BWC
3074,IPL
2186,KHN
3078,CXL
3175,YPF
3787,LEX
5345,"CPQ,VCP"
5346,URG
5347,"GCV,POA,QNS"
6117,KUF
5348,"AEP,EZE,RLO"
5349,MVD
10927,AMD
723,DEF
2351,HUN
9855,ENU
9133,BRI
4889,JEF
606,ISB
10261,ELS
9108,"BGY,LIN,MXP,SWK"
9109,SBZ
5447,PAC
9104,ADJ
10234,BFN
9102,BEY
8074,SZD
9101,LTK
2584,HHQ
8278,BEG
5528,TLX
4458,COV
3733,MUN
2136,NGB
6340,CEK
4693,CAK
4692,HZL
7314,ZTR
3106,GYM
11076,PZU
11727,"OOL,SFP"
11724,BNE
11725,TWB
2509,DEN
2421,ZHA
2505,NAK
9353,DOK
2725,USN
10645,NAL
9605,ACH
5265,PET
11679,RAS
5281,ROS
5034,SJP
2643,TYN
2646,KUV
5318,PDP
489,DLC
488,NHA
487,TSN
2781,CXB
11313,ADD
5040,RAO
3781,"LOU,SDF,ZTV"
7589,NUE
6541,OSL
9556,SZG
3789,EVV
6464,JOE
1863,JSP
9801,"CDG,JEV,ORY,TNF"
473,AFZ
9517,MCQ
8483,TGD
4992,CMG
3192,"HIO,PDX,TTD"
3190,YVR
4584,CON
9519,CMR
4582,ROC
