iata_code,woe_id
YCV,12511756
YRO,12511780
BTV,12518979
MHT,12520772
RAC,12520382
AKC,12518549
BKL,12518976
CGF,12519394
CLE,12520226
LNN,12522468
SCR,12523399
AGC,12518575
PIT,12519983
DYL,12519530
TTN,12520901
ILG,12521105
PNE,12521161
PHL,12521360
VAY,12521911
BBX,12524570
ACY,12518689
AIY,12523062
YZD,12511881
YYZ,12511883
ZML,12519880
UES,12522358
ARB,12518630
DTW,12519481
YIP,12522472
DET,12519479
PTK,12521181
MTC,12521791
DEO,12523299
MDW,12519178
GYY,12519869
JOT,12520394
LOT,12520634
ORD,12521200
PWK,12521282
CHI,12523051
UGN,12522357
BBF,12524569
BVY,12518817
BOS,12519874
BED,12520579
PVD,12522119
JBC,12523136
BDR,12520279
BNH,12518744
BDL,12518915
HFD,12520113
EHT,12521564
HVN,12522229
CEF,12522401
SMD,12521889
BLM,12518574
CDW,12519660
EWR,12521127
TEB,12522105
ARX,12524563
HPN,12522396
BPA,12520033
JFK,12520380
LGA,12520509
ISP,12520697
AYZ,12524568
DPK,12524657
CVG,12519978
HAO,12520064
ADW,12518620
IAD,12519544
MTN,12520827
BWI,12522341
DCA,12522343
BZS,12523372
CGS,12524611
RRL,12520910
AUW,12522361
ATY,12522349
EAU,12519585
STE,12522009
JMN,12523380
IOW,12520311
MLI,12521505
OMA,12519653
SPI,12519058
MKC,12520419
JEF,12520356
ANE,12518633
MSP,12520966
JDT,12523430
STL,12520553
CPS,12521970
MAO,12511115
PLL,12511279
QBX,12511332
THE,12511344
MVF,12511111
IMP,12511179
NAT,12511038
QIG,12511176
JPA,12511287
CPV,12511202
PNZ,12511269
PAV,12511266
MCZ,12511069
APQ,12523476
JEQ,12511195
ITN,12511183
CGB,12511228
ARS,12511028
APS,12511023
BPS,12511284
GYN,12511301
PIV,12523665
POJ,12523657
GVR,12511160
UBA,12511357
PLU,12511257
CGR,12511071
VOT,12523762
PSW,12523655
SJP,12511317
RAO,12511210
CAW,12511048
AQA,12511033
POO,12511276
BAU,12511049
MEA,12511217
REZ,12511291
PJC,12523659
SNZ,12511299
SDU,12511312
BJP,12523505
OUS,12511252
QDV,12511205
GRU,12511170
ZFU,12523485
CGH,23388212
MGF,12511231
SOD,12511334
UBT,12511356
UMU,12511359
CWB,12511012
BFH,12511039
AGT,12523540
PNG,12511258
PTO,12511263
CFC,12523508
NVT,12511240
CNT,12523535
PSS,12510533
RES,12510540
CNQ,12510484
CXJ,12511068
BGV,12523499
ALQ,12523463
BUV,12523497
PET,12511267
RIG,12511293
ROS,12510547
PDP,12522563
REC,12511167
SSA,12511112
BSB,12511058
CPQ,12523513
URG,12511295
QNS,12511076
POA,12511298
GCV,12523571
EZE,12510496
AEP,23388199
RLO,24554863
MVD,12522559
BVB,12511054
BEL,12511369
RSA,12510559
RDS,12510541
ZCO,12512332
CPG,12523522
CVI,12523511
CRD,12510499
SST,12510560
MDQ,12510518
MJR,12523634
SJO,12512434
SYQ,23388260
PAC,12515428
SNC,12512632
CUE,12512642
LOH,12523618
PIU,12515194
CIX,12515192
PCL,12515216
AYP,12515198
CUZ,12515222
PIO,12515215
JUL,12515207
OVL,12523648
TLX,12524458
SCL,12512304
NVA,12524502
ATF,12523470
CCP,12512311
MEC,12512629
PVO,12512647
UCT,12517120
OMS,12516609
BXH,12514283
BKA,12515878
SVO,12516860
CEK,12515894
SGC,12516957
NJC,12516511
CEE,12515900
PEE,12515842
RTW,12516819
OUL,12512792
TRD,12515128
JOE,12512772
HEL,12512766
HEM,23388273
OSL,12515119
BMA,12517616
TLL,12512744
NYO,12517663
TAY,12523797
THN,12517685
GSE,12517675
VVK,12523972
RIX,12514576
HAD,12517635
AGH,23319131
RNB,12517671
JHE,12523141
VEJ,12523335
MMX,23318094
GWT,22294483
BZG,12523956
POZ,12515333
BWE,22176819
CBU,12523857
NRN,12513156
UCK,12518337
EGO,12515790
ZTR,12524016
MXR,12524012
HMJ,12518289
ARN,12517610
TRF,12515126
HAM,22211603
BRE,22177393
WAW,12515363
AAL,12512587
ZGH,22851127
TXL,22164086
THF,22164089
SXF,22276234
GUT,12513116
UMY,12524014
IEV,12518501
HRK,12518282
AYH,12518030
CBG,22458071
UTC,23195459
QAR,12515084
HTF,12518098
LGW,23387567
SOU,22488616
CQF,12523087
BSH,12523976
RNS,12512973
AMS,22386730
LGG,12510845
MGL,22246822
DUS,23024911
CGN,23030981
HEN,12523987
RCS,12524003
XET,22475376
BQH,22493878
EIN,12515087
ANR,22028955
BRU,22103751
CRL,22048658
DCS,12518090
XNM,12518136
LBA,22471856
DSA,22656550
QQY,22454274
PME,12523999
AER,12515677
TZX,12523250
KLU,12510824
CDF,12513815
SZD,12513429
GVA,23365569
ARW,12515518
BLX,12523919
TRS,12513859
NCY,12512937
JLO,12523914
RJK,12513371
AHZ,12523836
SIP,12518424
BEG,12517583
OTP,12515558
BBU,23388350
GOA,12513821
BAE,12523804
CRA,12523964
ALL,12513797
INI,12517587
VAR,12511529
SOF,12511552
SZR,12523779
TGD,12517592
AJA,12512869
SSX,12523232
DRM,12523870
OLB,12513840
SKG,12513329
BDS,12513811
BTZ,12517876
ASR,12517886
REG,22315780
DNZ,12523098
CTA,22307044
BJV,12523053
ADA,12517911
AYT,12517869
AAE,12510325
TUN,23388364
GJL,12510349
RHO,12513316
CHQ,12513324
TEE,12510351
HER,12513291
SFA,12517857
GAE,12517858
DAM,12517698
HFA,12513795
MRA,12514660
BZO,12513807
LUG,23354864
ZAG,12513376
VIC,12513868
VRN,22592277
PMF,12513845
SPU,12513372
PEG,12513847
PSR,12513848
CIA,22307480
JKH,12513287
ALG,12510331
MIR,12517860
BEY,23388329
ADJ,23388321
TSF,22321438
SWK,12523358
MXP,22306432
BGY,22309691
SBZ,12515589
QPA,12513841
TRN,12513862
BLQ,12513806
RMI,12513855
PSA,12513850
JCA,12523296
XXT,12523829
CEQ,22878800
BRI,12513843
SAW,23416958
CMF,12512839
EBU,12512859
AUR,12512848
CCF,12512962
CTT,12512918
TLN,12512920
MRS,12512931
AVN,12523803
LYN,12512866
LYS,12512963
CFE,12512847
GRO,23268768
ORN,12510326
BVE,12512905
BOD,12512934
MDM,12512940
TLS,12512856
XYT,12512941
ROV,12516787
ZTN,12514631
KSC,12514604
PZY,12514620
MUC,22923040
ZNI,12514617
ERD,12518200
MCQ,12513412
CMR,12523806
SZG,12510826
BSL,12523049
DEB,12523875
ACH,23344872
IAS,12515544
GRZ,22014356
QKA,12513141
WIE,12513260
MHG,22243020
ZRB,22981759
STR,22236827
SXB,12512892
VIE,22022012
BTS,12514608
UHE,12523786
AGB,12513043
BUD,12513389
ZRH,22442771
DIJ,12512926
CHR,12512890
JEV,12523811
TNF,12523833
CDG,22140453
ORY,22144181
LOS,12515073
ENU,12515063
COO,12510939
BNI,12515060
CBQ,12515061
DLA,12512348
TKC,12512353
YAO,12512354
NSI,12523057
IBA,12515065
ACC,12513022
APL,12515027
MDK,12511971
GOM,12511956
BJM,12511564
ARK,24554855
KGA,12511960
SZA,12510454
OHI,12522988
TSB,12522992
ERS,12522975
PTG,12517460
PHW,12517419
MPM,12515021
NCS,12517453
BFN,12517423
PZB,12517459
ELS,12517396
OUH,12517454
PLZ,12517413
CPT,12517402
XYS,12517501
WIL,12514078
BZV,12511945
JNB,12517424
QRA,12517469
WKF,12517496
PRY,12517500
HIC,12523365
HPR,12523366
HCS,12523367
DUR,12517440
VIR,12517493
MRU,12514796
RUN,12515488
WVK,12514699
TLE,12514710
LHE,12515245
MRX,12513705
MUX,12515251
SYZ,12513764
ZAH,12513773
BUZ,12513710
NAL,12513638
SKZ,12515270
BND,12513703
AGR,12513528
DHA,12517333
GWL,12513589
UDR,12513688
AZI,12517732
BHO,12513540
BHJ,12513554
AMD,12513529
IDR,12513600
BDQ,12513692
RAJ,12513661
RRK,12513664
PBD,12513653
TIF,12517372
ISK,12513640
PZU,12517603
AHB,12517317
GIZ,12517335
CDP,12513571
HAL,12513543
CJB,12513569
DIR,12512756
ADD,12512758
MGQ,12517532
DEL,12513599
PAT,12513651
STV,12513677
BOM,12513559
PNQ,12513655
MAA,12513629
TUU,12517371
UVL,12512700
ABS,12512656
KRT,12517601
EBD,12517598
ALY,23388264
PSD,12512701
CAI,12512678
EDL,12514065
ASF,12515745
MCX,12516386
RZR,12513751
TBZ,12513767
RAS,12513752
THR,12513746
DRW,12510651
CNS,12510623
BME,12510620
TSV,12510800
ISA,12510745
GEA,12523111
ROK,12510773
GLT,12510675
BDB,12510621
BNE,23388207
TWB,12510799
SFP,12523218
CFS,12510636
GOS,12523114
GFF,12510681
ADL,1107231
AKL,12515151
MHB,12523172
GIS,12515154
PMR,12515164
NSN,12515160
WLG,12515175
CHC,12515152
ZWG,12515180
RSE,12523330
SWZ,12523448
ZDN,23388205
MEL,23388202
JAD,12510760
PER,12510761
CBR,12510625
ABX,12510583
